rank,group,ntaxa,parent,nH2O,ZC,nC
genus,Edwardsiella,7,Hafniaceae,-0.748257,-0.14719,4.911112
genus,Arsenophonus,8,Morganellaceae,-0.734328,-0.186145,5.058403
genus,Aeromonas,73,Aeromonadaceae,-0.741297,-0.157613,4.921512
genus,Photobacterium,49,Vibrionaceae,-0.749429,-0.160244,4.965795
genus,Vibrio,341,Vibrionaceae,-0.748735,-0.158994,4.968149
genus,Aliivibrio,11,Vibrionaceae,-0.744536,-0.167764,4.990603
genus,Grimontia,6,Vibrionaceae,-0.747403,-0.152863,4.933576
genus,Plesiomonas,2,,-0.750564,-0.150552,4.931813
genus,Aggregatibacter,7,Pasteurellaceae,-0.749626,-0.174444,5.020443
genus,Actinobacillus,15,Pasteurellaceae,-0.741167,-0.17504,5.006181
genus,Haemophilus,27,Pasteurellaceae,-0.741458,-0.175709,5.014478
genus,Avibacterium,5,Pasteurellaceae,-0.745993,-0.174484,5.016557
genus,Histophilus,1,Pasteurellaceae,-0.71314,-0.154261,4.925784
genus,Glaesserella,3,Pasteurellaceae,-0.743168,-0.170068,5.003915
genus,Pasteurella,12,Pasteurellaceae,-0.741992,-0.178285,5.026045
genus,Gallibacterium,5,Pasteurellaceae,-0.74415,-0.177734,5.023162
genus,Rodentibacter,12,Pasteurellaceae,-0.745881,-0.175974,5.024122
genus,Anaplasma,5,Anaplasmataceae,-0.711683,-0.152555,4.8706
genus,Bartonella,75,Bartonellaceae,-0.731184,-0.170083,4.976288
genus,Coxiella,7,Coxiellaceae,-0.732176,-0.199558,5.086103
genus,Ehrlichia,7,Anaplasmataceae,-0.724364,-0.189862,5.05283
genus,Rickettsia,45,Rickettsiaceae,-0.712367,-0.208626,5.082196
genus,Orientia,2,Rickettsiaceae,-0.716997,-0.205763,5.102606
genus,Chlamydia,19,Chlamydiaceae,-0.742884,-0.184006,5.031962
genus,Bacteroides,169,Bacteroidaceae,-0.796,-0.161379,5.074956
genus,Phocaeicola,13,,-0.798762,-0.158022,5.077303
genus,Parabacteroides,46,Tannerellaceae,-0.790535,-0.165478,5.072931
genus,Sebaldella,1,Leptotrichiaceae,-0.724017,-0.196016,5.071527
genus,Butyrivibrio,45,Lachnospiraceae,-0.755892,-0.16754,5.019319
genus,Fibrobacter,37,Fibrobacteraceae,-0.776326,-0.154599,4.989936
genus,Porphyromonas,29,Porphyromonadaceae,-0.764914,-0.160347,5.027862
genus,Prevotella,131,Prevotellaceae,-0.790987,-0.153332,5.049536
genus,Wolinella,1,Helicobacteraceae,-0.731441,-0.198165,5.060387
genus,Oxalobacter,1,Oxalobacteraceae,-0.743413,-0.151274,4.936552
genus,Fusobacterium,49,Fusobacteriaceae,-0.711011,-0.215032,5.119743
genus,Faecalibacterium,26,Oscillospiraceae,-0.744611,-0.152418,4.918395
genus,Syntrophomonas,3,Syntrophomonadaceae,-0.722589,-0.179006,4.998856
genus,Pectinatus,5,Selenomonadaceae,-0.719727,-0.192826,5.018029
genus,Ruminobacter,2,Succinivibrionaceae,-0.749669,-0.154145,4.990024
genus,Dichelobacter,1,Cardiobacteriaceae,-0.761622,-0.157313,4.999211
genus,Desulfocurvibacter,1,Desulfovibrionaceae,-0.730242,-0.152455,4.895853
genus,Desulfovibrio,59,Desulfovibrionaceae,-0.732398,-0.150978,4.874716
genus,Maridesulfovibrio,6,Desulfovibrionaceae,-0.726197,-0.175648,4.966006
genus,Thermodesulfobacterium,6,Thermodesulfobacteriaceae,-0.727904,-0.25497,5.23323
genus,Desulfuromonas,7,Desulfuromonadaceae,-0.729049,-0.15681,4.916412
genus,Desulfobulbus,9,Desulfobulbaceae,-0.73689,-0.160174,4.9446
genus,Desulfococcus,2,Desulfobacteraceae,-0.745729,-0.15951,4.943814
genus,Desulfomicrobium,5,Desulfomicrobiaceae,-0.735424,-0.156327,4.911858
genus,Acidaminococcus,9,Acidaminococcaceae,-0.727125,-0.173395,4.944919
genus,Megasphaera,27,Veillonellaceae,-0.739454,-0.164075,4.950469
genus,Nitrobacter,4,Bradyrhizobiaceae,-0.724239,-0.137326,4.83802
genus,Nitrosomonas,30,Nitrosomonadaceae,-0.748607,-0.159982,4.97507
genus,Acidithiobacillus,16,Acidithiobacillaceae,-0.76075,-0.148157,4.921264
genus,Starkeya,6,Xanthobacteraceae,-0.718464,-0.149762,4.806719
genus,Thiomonas,12,,-0.736001,-0.143113,4.840646
genus,Halothiobacillus,5,Halothiobacillaceae,-0.744581,-0.130987,4.871559
genus,Thermithiobacillus,1,Thermithiobacillaceae,-0.743446,-0.143936,4.883268
genus,Thiobacillus,2,Thiobacillaceae,-0.738878,-0.147316,4.873956
genus,Thiomicrospira,8,Piscirickettsiaceae,-0.754167,-0.154639,4.969745
genus,Hydrogenobacter,3,Aquificaceae,-0.74094,-0.22104,5.16724
genus,Neorickettsia,5,Anaplasmataceae,-0.706708,-0.195058,5.004487
genus,Wolbachia,62,Anaplasmataceae,-0.710575,-0.196098,5.061135
genus,Bdellovibrio,6,Bdellovibrionaceae,-0.741318,-0.169294,4.9861
genus,Bacteriovorax,5,Bacteriovoracaceae,-0.751286,-0.181997,5.076342
genus,Herbaspirillum,48,Oxalobacteraceae,-0.726354,-0.150447,4.857252
genus,Oceanospirillum,6,Oceanospirillaceae,-0.740776,-0.149791,4.942
genus,Selenomonas,28,Selenomonadaceae,-0.735513,-0.15369,4.91936
genus,Cellulophaga,14,Flavobacteriaceae,-0.762595,-0.185046,5.081864
genus,Saccharicrinis,3,Marinilabiliaceae,-0.784906,-0.172284,5.085686
genus,Pedobacter,121,Sphingobacteriaceae,-0.767733,-0.182072,5.063318
genus,Cytophaga,3,Cytophagaceae,-0.772352,-0.179877,5.063454
genus,Aquimarina,37,Flavobacteriaceae,-0.769867,-0.180545,5.102028
genus,Leeuwenhoekiella,9,Flavobacteriaceae,-0.778484,-0.170814,5.070647
genus,Marinilabilia,2,Marinilabiliaceae,-0.797735,-0.160384,5.075879
genus,Breznakibacter,1,Marinilabiliaceae,-0.784306,-0.158883,5.031584
genus,Solitalea,3,Sphingobacteriaceae,-0.766858,-0.182915,5.067568
genus,Eisenibacter,1,Microscillaceae,-0.794008,-0.165677,5.074973
genus,Flexibacter,1,Flexibacteraceae,-0.774312,-0.169924,5.038951
genus,Bernardetia,1,Bernardetiaceae,-0.778112,-0.183215,5.149168
genus,Hugenholtzia,1,Bernardetiaceae,-0.788716,-0.183416,5.132345
genus,Thermoflexibacter,1,Thermoflexibacteraceae,-0.781034,-0.187406,5.131277
genus,Chitinophaga,57,Chitinophagaceae,-0.785982,-0.164918,5.032383
genus,Marivirga,5,Marivirgaceae,-0.778759,-0.175533,5.093825
genus,Saprospira,1,Saprospiraceae,-0.79502,-0.164916,5.079605
genus,Weeksella,2,Weeksellaceae,-0.780307,-0.183615,5.13739
genus,Bergeyella,2,Weeksellaceae,-0.775318,-0.183951,5.120488
genus,Capnocytophaga,35,Flavobacteriaceae,-0.77988,-0.183517,5.121895
genus,Beggiatoa,2,Thiotrichaceae,-0.74843,-0.173251,5.023232
genus,Marinoscillum,2,Reichenbachiellaceae,-0.793364,-0.154263,5.029287
genus,Microscilla,1,Microscillaceae,-0.773453,-0.174035,5.091436
genus,Thiothrix,8,Thiotrichaceae,-0.752427,-0.151427,4.937863
genus,Afipia,19,Bradyrhizobiaceae,-0.71851,-0.152452,4.839943
genus,Erythrobacter,42,Erythrobacteraceae,-0.737796,-0.126241,4.805011
genus,Marichromatium,5,Chromatiaceae,-0.733271,-0.131301,4.851925
genus,Allochromatium,4,Chromatiaceae,-0.740988,-0.136175,4.896518
genus,Thermochromatium,1,Chromatiaceae,-0.73965,-0.142733,4.911397
genus,Halorhodospira,4,Ectothiorhodospiraceae,-0.753501,-0.108699,4.848434
genus,Ectothiorhodospira,7,Ectothiorhodospiraceae,-0.750633,-0.126655,4.89154
genus,Thiococcus,1,Chromatiaceae,-0.73971,-0.135128,4.860065
genus,Thiocapsa,5,Chromatiaceae,-0.740444,-0.13729,4.877269
genus,Rhodobacter,27,Rhodobacteraceae,-0.72363,-0.144306,4.803282
genus,Cereibacter,5,Rhodobacteraceae,-0.719234,-0.139501,4.790371
genus,Rhodocyclus,2,Rhodocyclaceae,-0.724449,-0.140781,4.828857
genus,Rhodomicrobium,4,Hyphomicrobiaceae,-0.726228,-0.144873,4.83358
genus,Rhodopila,1,Acetobacteraceae,-0.731866,-0.135908,4.801191
genus,Rhodoblastus,2,Beijerinckiaceae,-0.722754,-0.141189,4.809343
genus,Rhodopseudomonas,13,Bradyrhizobiaceae,-0.715774,-0.147491,4.816499
genus,Blastochloris,3,Blastochloridaceae,-0.707789,-0.144075,4.785988
genus,Afifella,3,Afifellaceae,-0.724066,-0.141998,4.82485
genus,Pararhodospirillum,2,Rhodospirillaceae,-0.706282,-0.140264,4.78264
genus,Rhodospirillum,2,Rhodospirillaceae,-0.708483,-0.14084,4.779611
genus,Rhodothalassium,1,Rhodothalassiaceae,-0.727858,-0.116186,4.752757
genus,Rhodovibrio,2,Rhodospirillaceae,-0.735345,-0.116676,4.80454
genus,Chlorobium,8,Chlorobiaceae,-0.734601,-0.161661,4.945783
genus,Chlorobaculum,5,Chlorobiaceae,-0.738783,-0.161613,4.94963
genus,Prosthecochloris,9,Chlorobiaceae,-0.745375,-0.154595,4.956596
genus,Pelodictyon,2,Chlorobiaceae,-0.735274,-0.162759,4.948683
genus,Chloroflexus,5,Chloroflexaceae,-0.742804,-0.160337,4.92591
genus,Aphanothece,3,Aphanothecaceae,-0.736565,-0.165907,4.967546
genus,Chlorogloeopsis,1,Chlorogloeopsidaceae,-0.746831,-0.171652,5.017824
genus,Microcystis,10,Microcystaceae,-0.742626,-0.173179,5.016907
genus,Synechocystis,12,Merismopediaceae,-0.752025,-0.166773,4.986897
genus,Planktothrix,11,Microcoleaceae,-0.747124,-0.171102,5.033305
genus,Trichormus,3,Nostocaceae,-0.737251,-0.172312,5.008872
genus,Anabaena,21,Nostocaceae,-0.740898,-0.172609,5.017394
genus,Dolichospermum,13,Aphanizomenonaceae,-0.740451,-0.176325,5.029437
genus,Aphanizomenon,4,Aphanizomenonaceae,-0.73842,-0.176998,5.028829
genus,Nostoc,62,Nostocaceae,-0.740709,-0.167745,4.998157
genus,Desmonostoc,1,Nostocaceae,-0.739964,-0.166735,4.996567
genus,Leptolyngbya,33,Leptolyngbyaceae,-0.747035,-0.150233,4.943215
genus,Tolypothrix,9,Tolypothrichaceae,-0.739784,-0.167731,4.999204
genus,Microchaete,1,Rivulariaceae,-0.740519,-0.168613,5.00344
genus,Trichodesmium,1,Microcoleaceae,-0.743648,-0.175556,5.047778
genus,Prochlorococcus,36,Prochloraceae,-0.718248,-0.185908,5.026702
genus,Prochlorothrix,1,Prochlorotrichaceae,-0.757723,-0.143998,4.92543
genus,Nitrosococcus,4,Chromatiaceae,-0.759314,-0.159605,4.989873
genus,Nitrosospira,16,Nitrosomonadaceae,-0.743304,-0.151187,4.917891
genus,Nitrosovibrio,5,Nitrosomonadaceae,-0.744689,-0.146527,4.910541
genus,Piscirickettsia,2,Piscirickettsiaceae,-0.748181,-0.16971,5.029409
genus,Leuconostoc,21,Lactobacillaceae,-0.737024,-0.17665,5.004466
genus,Oenococcus,4,Lactobacillaceae,-0.73779,-0.189406,5.040854
genus,Weissella,26,Lactobacillaceae,-0.734984,-0.171243,4.983087
genus,Pediococcus,12,Lactobacillaceae,-0.73485,-0.176751,5.022241
genus,Peptoniphilus,34,Peptoniphilaceae,-0.711733,-0.198477,5.079588
genus,Finegoldia,6,Peptoniphilaceae,-0.714429,-0.198307,5.106158
genus,Peptostreptococcus,8,Peptostreptococcaceae,-0.705766,-0.194364,5.059886
genus,Ruminococcus,151,Oscillospiraceae,-0.745119,-0.166867,5.009828
genus,Clostridium,320,Clostridiaceae,-0.722606,-0.189655,5.044147
genus,Micrococcus,34,Micrococcaceae,-0.713273,-0.114375,4.721501
genus,Kocuria,43,Micrococcaceae,-0.723067,-0.116047,4.754405
genus,Dermacoccus,10,Dermacoccaceae,-0.715011,-0.114074,4.733599
genus,Kytococcus,4,Kytococcaceae,-0.714827,-0.108597,4.708888
genus,Staphylococcus,525,Staphylococcaceae,-0.743468,-0.184036,5.077256
genus,Mammaliicoccus,5,Staphylococcaceae,-0.743922,-0.186802,5.092344
genus,Deinococcus,74,Deinococcaceae,-0.722748,-0.136546,4.807928
genus,Streptococcus,388,Streptococcaceae,-0.737508,-0.182488,5.044422
genus,Blautia,76,Lachnospiraceae,-0.752913,-0.166352,5.021431
genus,Faecalicoccus,2,Erysipelotrichaceae,-0.760845,-0.177268,5.078654
genus,Enterococcus,184,Enterococcaceae,-0.739186,-0.18834,5.061569
genus,Lactococcus,38,Streptococcaceae,-0.730896,-0.188393,5.035697
genus,Marinococcus,3,Bacillaceae,-0.765019,-0.151986,4.991705
genus,Planococcus,29,Planococcaceae,-0.739097,-0.180797,5.013921
genus,Aerococcus,18,Aerococcaceae,-0.75157,-0.158856,4.998424
genus,Gemella,16,,-0.707656,-0.211377,5.116635
genus,Atopobium,11,Atopobiaceae,-0.729037,-0.144893,4.873837
genus,Lancefieldella,2,Atopobiaceae,-0.724636,-0.149237,4.87785
genus,Bacillus,710,Bacillaceae,-0.739012,-0.192212,5.060552
genus,Aneurinibacillus,9,Paenibacillaceae,-0.734508,-0.1778,5.008898
genus,Brevibacillus,51,Paenibacillaceae,-0.739215,-0.176809,5.007386
genus,Geobacillus,50,Bacillaceae,-0.751382,-0.18061,5.042761
genus,Niallia,4,Bacillaceae,-0.736272,-0.199,5.08199
genus,Weizmannia,4,Bacillaceae,-0.736892,-0.191858,5.047505
genus,Cytobacillus,11,Bacillaceae,-0.736372,-0.195005,5.066475
genus,Paenibacillus,437,Paenibacillaceae,-0.75268,-0.16752,4.993892
genus,Priestia,8,Bacillaceae,-0.741342,-0.193354,5.069258
genus,Peribacillus,16,Bacillaceae,-0.729819,-0.195653,5.053025
genus,Alkalihalobacillus,31,Bacillaceae,-0.745202,-0.182726,5.047997
genus,Evansella,3,Bacillaceae,-0.752858,-0.181125,5.059183
genus,Caldalkalibacillus,2,Bacillaceae,-0.749673,-0.186376,5.077595
genus,Lysinibacillus,51,Bacillaceae,-0.736258,-0.194628,5.062768
genus,Parageobacillus,7,Bacillaceae,-0.747556,-0.194605,5.086706
genus,Amphibacillus,5,Bacillaceae,-0.750492,-0.182687,5.076355
genus,Alicyclobacillus,24,Alicyclobacillaceae,-0.756363,-0.151846,4.938726
genus,Schinkia,2,Bacillaceae,-0.728566,-0.1975,5.070806
genus,Metabacillus,10,Bacillaceae,-0.739274,-0.192914,5.068762
genus,Sporosarcina,54,Planococcaceae,-0.728686,-0.186632,5.018348
genus,Psychrobacillus,13,Bacillaceae,-0.728226,-0.199502,5.062655
genus,Lederbergia,3,Bacillaceae,-0.754177,-0.192376,5.095339
genus,Virgibacillus,36,Bacillaceae,-0.744387,-0.186378,5.061761
genus,Hydrogenibacillus,1,Bacillaceae,-0.725036,-0.159075,4.886852
genus,Paraclostridium,3,Peptostreptococcaceae,-0.696995,-0.212737,5.082985
genus,Clostridioides,2,Peptostreptococcaceae,-0.702373,-0.20028,5.066993
genus,Hathewaya,3,Clostridiaceae,-0.703202,-0.210075,5.10083
genus,Ruminiclostridium,7,Oscillospiraceae,-0.728249,-0.186931,5.032447
genus,Gottschalkia,2,Gottschalkiaceae,-0.68539,-0.21263,5.087652
genus,Paeniclostridium,3,Peptostreptococcaceae,-0.695677,-0.215531,5.102288
genus,Thermoclostridium,2,Oscillospiraceae,-0.738638,-0.183177,5.0458
genus,Acetoanaerobium,3,Peptostreptococcaceae,-0.701574,-0.204732,5.063544
genus,Lachnoclostridium,23,Lachnospiraceae,-0.748684,-0.163811,4.997502
genus,Acetivibrio,6,Oscillospiraceae,-0.735295,-0.186563,5.067397
genus,Thermoanaerobacter,15,Thermoanaerobacteraceae,-0.695134,-0.227056,5.105583
genus,Thermoanaerobacterium,7,Thermoanaerobacterales Family III. Incertae Sedis,-0.709636,-0.211916,5.084534
genus,Erysipelatoclostridium,8,Erysipelotrichaceae,-0.751357,-0.189206,5.109501
genus,Moorella,8,Thermoanaerobacteraceae,-0.709187,-0.181454,4.935211
genus,Anaerocolumna,6,Lachnospiraceae,-0.741548,-0.18928,5.065343
genus,Eubacterium,42,Eubacteriaceae,-0.741408,-0.170364,5.011861
genus,Enterocloster,6,Lachnospiraceae,-0.758263,-0.153808,4.96623
genus,Romboutsia,14,Peptostreptococcaceae,-0.694545,-0.211298,5.082005
genus,Terrisporobacter,3,Peptostreptococcaceae,-0.702021,-0.206438,5.078704
genus,Faecalicatena,3,Lachnospiraceae,-0.749672,-0.168177,5.011392
genus,Peptoclostridium,3,Peptostreptococcaceae,-0.70398,-0.187905,5.006623
genus,Desulfosporosinus,17,Peptococcaceae,-0.713947,-0.18965,4.995263
genus,Desulfotomaculum,10,Peptococcaceae,-0.711377,-0.183965,4.971712
genus,Desulfofundulus,6,Peptococcaceae,-0.713135,-0.176333,4.949111
genus,Halobacillus,24,Bacillaceae,-0.757657,-0.172013,5.042532
genus,Leifsonia,38,Microbacteriaceae,-0.707249,-0.136766,4.749216
